Message,Sentiment
is this correct only a class diagram for Blockchain-Based voting system,neutral
i got like this,neutral
this is correct,neutral
this is not class diagram,negative
I will send one more diagram once see that kada,neutral
This only know use case diagram,neutral
ya,neutral
Thank u so much sanjhanna,positive
Sorry to disturb u,negative
no problem,negative
What are u doing??,neutral
I started watching mismatched,neutral
All the best for ur boot camp,positive
Tell ml mam to say to that substitution sir. He did not give u attendance,negative
Results came sanjhanna,neutral
Don't write record. Mam will send the content for class diagram it sims,neutral
HAPPY NEW YEAR SANJHANNA,positive
How is ur camp going on,neutral
Over a exam??,neutral
sanjhanna one help in oose,neutral
chepu,neutral
once see this usecase diagram kada i dont know weather is it correct for not,negative
correct only,neutral
okay thanks sanjhanna,positive
what do we have to do in ann research paper (related work). i am not understanding what to do in that,negative
who are your team members,neutral
"try talking to them, try fixing on one topic",neutral
then work on it,neutral
Me and ayush,neutral
Topic is fixed. Only that related work thing I am not understanding,negative
Sanjhanna attendance over. Come fast,neutral
Sanjhanna i am really sorry if I troubled u by Unkowling. Please forgive me.  Now onwards u have not have any issue,negative
"This is not the right way to sort out, if you have anything you should've spoken to me infront of everyone.",negative
Okay we will talk tomorrow,neutral
I am going for nss parade practice. Can u please tell my attendance,neutral
Please,neutral
Ikay,neutral
Will tell,neutral
Thank u so much sanjhanna. Really means a lot,positive
No problemm,negative
I told your attendance,neutral
Thanks sanjhanna,positive
No problem,negative
Okay,neutral
Did u remind mam my attendance sanjhanna <This message was edited>,neutral
Sanjhanna get that cd tomorrow u were saying kada from 4th sem,neutral
Yeah I forgot😂😭,negative
I slept off by then,neutral
Tomorrow I'll try to bring,neutral
Okay,neutral
Sir came to class,neutral
,neutral
Sanjhanna,neutral
Oose lab internal postpone to after mids,neutral
Record should be corrected by next week it Sims <This message was edited>,neutral
Tomorrow quiz is there in lab. Safe browser,neutral
25th is lab internal 1 for oose,neutral
Hey,neutral
Okay,neutral
Oose ah?,neutral
Okay thanks,positive
Why did you go to college today,neutral
Yes,neutral
Normally.  What should I do sitting in home,neutral
Okok,neutral
Good morning,positive
These questions may come. So prepare for banking,neutral
thank you,positive
first finish these i will send 3rd unit also,neutral
can u send me,neutral
3rd unit,neutral
questions,neutral
can you send me your unit 3 material,neutral
ppb,neutral
thanks,positive
No problem,negative
Sanjhanna u are in A-421 for banking,neutral
oh,neutral
thank you,positive
Np,neutral
Sanjhanna I am sending u ur pics in my phone,neutral
https://photos.app.goo.gl/FWMuZwtVGS6ohUds7,neutral
Did u get ur oose record corrected ??,neutral
Nope,negative
Okay,neutral
Did u open this ??,neutral
nope,negative
not yet,negative
Okay fine,neutral
Sanjhanna get that cd tomorrow u were saying kada from 4th sem,neutral
Haan yes,neutral
Okay,neutral
What are u doing ??,neutral
Did u bring that cd ??,neutral
Hi,neutral
Yesss,neutral
Gm,neutral
Good morning,positive
I thought u would forgot today also,negative
Haha no no,neutral
I brought it,neutral
Good,positive
Mam came to class,neutral
Sanjhanna which one is better in node js and django,neutral
both are good,positive
Okay thanks,positive
Still not slept a ??,negative
Did not come to college a today ??,negative
nope,negative
check my paper also in case you go,neutral
and send me pic if possible,neutral
Okay done,neutral
I will try if mam allows,neutral
okay,neutral
otherwise its fine,neutral
tomorrow ill check,neutral
Okay,neutral
Enjoy in home,positive
I saw ur marks 30/30. Mam is not there in cabin,negative
After she comes I will send u pic,neutral
,neutral
HighSpark 925 Silver Solitaire Heart Pendant with Chain For Women | 92.5 Sterling Silver & Diamond like Brilliance Sparkling Zirconia for that Stunning Shine | Lovely Gift,positive
Limited-time deal: GIVA 925 Silver Jewellery| Valentine Gift for Girlfriend Wife Women & Girls |6 Months Warranty|Free Life Time Plating,neutral
If possible get that cd tomorrow. We will do in lunch,neutral
Bosch extended the invite for the Women’s Day Celebration at BGSW Campus to the 3rd year students (2026 graduating Batch) from our esteemed Institution on 7th March 2025.,neutral
Need 2 girls from AIML,neutral
Name,neutral
Should visit company on ur own.,neutral
If u want I am ask one of hr of that company that what will happen on that day ani. That mam handles this kind of stuff,neutral
Do we have any dl quiz tomorrow??,neutral
Yes,neutral
Thanks sanjhanna,positive
BTW what what happened today,neutral
All the best for ur graduation event. Enjoy sanjhanna,positive
Thank you so much!,positive
enjoy carry on,positive
Sanjhanna I sent u one insta profile tell me how is that okay na,neutral
How is that ante?,neutral
Sorry who ani asking,negative
Mam is taking attendance,neutral
Get that cd tomorrow okay na,neutral
Tomorrow we have dl quiz. First hour,neutral
Yeah I remember,neutral
Nice,positive
Good morning,positive
Hey sandeep,neutral
You have to pay me 165 right for dinner?,neutral
So cutting that from board games ka place,neutral
I have to give you 73.4,neutral
I'm sending you that,neutral
Gpay on your number only na?,neutral
Can you send me your QR code,neutral
I will send you the amount,neutral
Okay,neutral
Number only. I paid for auto also,neutral
Haan yes how much is that,neutral
Send me QR kada if possible,neutral
95/2 = 47.5,neutral
Sure few minutes,neutral
Thank you,positive
Np,neutral
Paid check,neutral
Got le sanjhanna,neutral
Good morning,positive
"hey is it possible to send me ann unit 4,5 pdf. i lost them",neutral
Why did 18 stop near orr,neutral
Sanjhanna going out for few minutes. I will join at 8:10,neutral
no problem,negative
Okay le,neutral
No problem,negative
Okay,neutral
Plan is on Monday and Tuesday a ?,neutral
No only Monday,neutral
Okay,neutral
Hey,neutral
Do you have your old laptop?,neutral
In which we can put cd,neutral
Yes having it,neutral
I reached safely,neutral
Happy birthday sanjhanna wish you many more happy returns of the day. Thanks for showing every little care on me it means a lot. Have a great year ahead. Stay happy and keep smiling 💫💫😇😇💥💥🎉🎉🎈🎈✨️,positive
"Thank you so much Sandeep, this means a lot 🥰❤️✨",positive
Enjoy ur day sanjhanna,positive
all the best for u first day sanjhanna,positive
Thanks sandeep,positive
It was a good day,positive
How is office btw I mean like interior and all,neutral
Very nice,positive
Any photos u took a ?,neutral
Nope,negative
Okay,neutral
Sanjhanna,neutral
Yes,neutral
saturday also u have office a ?,neutral
No sandeep,neutral
Sat sun holiday,neutral
Okay done,neutral
How is everything going on in office?,neutral
Why are you asking,neutral
All good sandeep,positive
You tell how are you,neutral
Ntg just been 1 month kada since I last messaged ani,neutral
Fine yesterday grandfather died at morning 3:00am,negative
What happened?!,neutral
Don't know what happened before day we went out and then we came back home. But at night 3:00 He just died all of sudden,negative
Oh,neutral
